step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.6791633367538452,,0.125,,,,,,,2026-04-28T22:57:34.1390000Z
2,0.6777599453926086,,0.125,,,,,,,2026-04-28T22:57:38.5030000Z
3,0.6665285229682922,,0,,,,,,,2026-04-28T22:57:42.8930000Z
4,0.6733353137969971,,0.125,,,,,,,2026-04-28T22:57:47.2780000Z
5,0.6727917790412903,,0,,,,,,,2026-04-28T22:57:51.7220000Z
6,0.6622251868247986,,0,,,,,,,2026-04-28T22:57:56.1150000Z
7,0.6696909070014954,,0.125,,,,,,,2026-04-28T22:58:00.5110000Z
8,0.6809335947036743,,0.125,,,,,,,2026-04-28T22:58:04.9090000Z
9,0.6720032691955566,,0.125,,,,,,,2026-04-28T22:58:09.2890000Z
10,0.6745572686195374,,0.125,0.6656924486160278,,0,,,,2026-04-28T22:58:16.3710000Z
11,0.6739886403083801,,0.125,,,,,,,2026-04-28T22:58:20.7580000Z
12,0.6746786832809448,,0.125,,,,,,,2026-04-28T22:58:25.1900000Z
13,0.6637576222419739,,0,,,,,,,2026-04-28T22:58:29.5900000Z
14,0.6696335077285767,,0.125,,,,,,,2026-04-28T22:58:34.2820000Z
15,0.6643974781036377,,0.125,,,,,,,2026-04-28T22:58:38.6720000Z
16,0.6705511212348938,,0.125,,,,,,,2026-04-28T22:58:43.0800000Z
17,0.649432361125946,,0,,,,,,,2026-04-28T22:58:47.4780000Z
18,0.6642119288444519,,0.125,,,,,,,2026-04-28T22:58:51.9330000Z
19,0.6747588515281677,,0.125,,,,,,,2026-04-28T22:58:56.0730000Z
20,0.6540430784225464,,0,0.6511363983154297,,0,,,,2026-04-28T22:59:02.6160000Z
21,0.6637113094329834,,0.125,,,,,,,2026-04-28T22:59:07.3730000Z
22,0.6429198384284973,,0,,,,,,,2026-04-28T22:59:12.1140000Z
23,0.657004714012146,,0,,,,,,,2026-04-28T22:59:16.5180000Z
24,0.6548472046852112,,0,,,,,,,2026-04-28T22:59:20.9480000Z
25,0.6398136615753174,,0,,,,,,,2026-04-28T22:59:25.7120000Z
26,0.6472253203392029,,0,,,,,,,2026-04-28T22:59:30.4090000Z
27,0.6542399525642395,,0,,,,,,,2026-04-28T22:59:34.8400000Z
28,0.6386792063713074,,0,,,,,,,2026-04-28T22:59:39.3000000Z
29,0.6437749266624451,,0,,,,,,,2026-04-28T22:59:44.0560000Z
30,0.635570764541626,,0,0.6296417713165283,,0,,,,2026-04-28T22:59:51.5210000Z
31,0.6337109804153442,,0,,,,,,,2026-04-28T22:59:56.1940000Z
32,0.6272357106208801,,0,,,,,,,2026-04-28T23:00:00.5800000Z
33,0.6320400834083557,,0,,,,,,,2026-04-28T23:00:05.3210000Z
34,0.6300526857376099,,0,,,,,,,2026-04-28T23:00:09.7610000Z
35,0.635818600654602,,0,,,,,,,2026-04-28T23:00:14.4550000Z
36,0.6344096064567566,,0,,,,,,,2026-04-28T23:00:18.8940000Z
37,0.6070801019668579,,0,,,,,,,2026-04-28T23:00:23.3440000Z
38,0.6145131587982178,,0,,,,,,,2026-04-28T23:00:27.8040000Z
39,0.6356531977653503,,0,,,,,,,2026-04-28T23:00:32.1920000Z
40,0.6302257180213928,,0,0.6081914305686951,,0,,,,2026-04-28T23:00:39.2800000Z
41,0.6090795397758484,,0,,,,,,,2026-04-28T23:00:43.7340000Z
42,0.6160163879394531,,0,,,,,,,2026-04-28T23:00:48.4880000Z
43,0.612891674041748,,0,,,,,,,2026-04-28T23:00:53.2190000Z
44,0.5968884229660034,,0,,,,,,,2026-04-28T23:00:58.2500000Z
45,0.5989777445793152,,0,,,,,,,2026-04-28T23:01:02.6790000Z
46,0.6099625825881958,,0,,,,,,,2026-04-28T23:01:07.4250000Z
47,0.5840577483177185,,0,,,,,,,2026-04-28T23:01:11.8620000Z
48,0.5930789113044739,,0,,,,,,,2026-04-28T23:01:16.3060000Z
49,0.6004074811935425,,0,,,,,,,2026-04-28T23:01:20.7030000Z
50,0.5943738222122192,,0,0.5868710279464722,,0,,,,2026-04-28T23:01:27.5000000Z
51,0.5880749821662903,,0,,,,,,,2026-04-28T23:01:31.8840000Z
52,0.599539041519165,,0,,,,,,,2026-04-28T23:01:36.2710000Z
53,0.5950533151626587,,0,,,,,,,2026-04-28T23:01:40.6630000Z
54,0.5835515260696411,,0,,,,,,,2026-04-28T23:01:44.7840000Z
55,0.579171895980835,,0,,,,,,,2026-04-28T23:01:49.4730000Z
56,0.5745367407798767,,0.125,,,,,,,2026-04-28T23:01:53.8570000Z
57,0.5894160866737366,,0,,,,,,,2026-04-28T23:01:58.2320000Z
58,0.5933870077133179,,0,,,,,,,2026-04-28T23:02:02.6220000Z
59,0.5683836936950684,,0,,,,,,,2026-04-28T23:02:07.6000000Z
60,0.5798379182815552,,0,0.566463053226471,,0,,,,2026-04-28T23:02:14.6870000Z
61,0.5834526419639587,,0,,,,,,,2026-04-28T23:02:19.0740000Z
62,0.5967048406600952,,0,,,,,,,2026-04-28T23:02:23.4670000Z
63,0.5756588578224182,,0,,,,,,,2026-04-28T23:02:28.1490000Z
64,0.5597020387649536,,0,,,,,,,2026-04-28T23:02:32.5870000Z
65,0.5608658790588379,,0,,,,,,,2026-04-28T23:02:37.0220000Z
66,0.5505936145782471,,0,,,,,,,2026-04-28T23:02:41.7780000Z
67,0.5550047159194946,,0,,,,,,,2026-04-28T23:02:46.2500000Z
68,0.5672927498817444,,0.125,,,,,,,2026-04-28T23:02:50.6970000Z
69,0.5251808762550354,,0,,,,,,,2026-04-28T23:02:55.1380000Z
70,0.5344354510307312,,0,0.5434013605117798,,0,,,,2026-04-28T23:03:02.2620000Z
71,0.5740026235580444,,0,,,,,,,2026-04-28T23:03:07.0120000Z
72,0.5347259640693665,,0,,,,,,,2026-04-28T23:03:11.4070000Z
73,0.5386761426925659,,0,,,,,,,2026-04-28T23:03:15.9560000Z
74,0.5654478669166565,,0,,,,,,,2026-04-28T23:03:20.3990000Z
75,0.5623797178268433,,0,,,,,,,2026-04-28T23:03:25.1390000Z
76,0.5406246781349182,,0,,,,,,,2026-04-28T23:03:29.5330000Z
77,0.5275561213493347,,0,,,,,,,2026-04-28T23:03:34.5720000Z
78,0.5003681182861328,,0,,,,,,,2026-04-28T23:03:38.9840000Z
79,0.5625089406967163,,0,,,,,,,2026-04-28T23:03:43.3930000Z
80,0.5498959422111511,,0,0.5195377469062805,,0,,,,2026-04-28T23:03:50.8310000Z
81,0.5388636589050293,,0,,,,,,,2026-04-28T23:03:55.2650000Z
82,0.5535300374031067,,0,,,,,,,2026-04-28T23:03:59.7000000Z
83,0.5183404684066772,,0,,,,,,,2026-04-28T23:04:04.1620000Z
84,0.5417486429214478,,0,,,,,,,2026-04-28T23:04:08.6120000Z
85,0.5227315425872803,,0,,,,,,,2026-04-28T23:04:13.0530000Z
86,0.5343314409255981,,0,,,,,,,2026-04-28T23:04:17.5030000Z
87,0.5028154253959656,,0,,,,,,,2026-04-28T23:04:21.9610000Z
88,0.5051979422569275,,0,,,,,,,2026-04-28T23:04:26.4210000Z
89,0.51460200548172,,0,,,,,,,2026-04-28T23:04:31.4740000Z
90,0.5539435148239136,,0,0.49143385887145996,,0,,,,2026-04-28T23:04:38.3070000Z
91,0.5537171363830566,,0,,,,,,,2026-04-28T23:04:42.7110000Z
92,0.5036913752555847,,0,,,,,,,2026-04-28T23:04:47.1060000Z
93,0.5018014907836914,,0,,,,,,,2026-04-28T23:04:51.4950000Z
94,0.4635239243507385,,0,,,,,,,2026-04-28T23:04:55.8980000Z
95,0.46074432134628296,,0,,,,,,,2026-04-28T23:05:00.2860000Z
96,0.4628908038139343,,0,,,,,,,2026-04-28T23:05:04.9850000Z
97,0.4292844533920288,,0,,,,,,,2026-04-28T23:05:09.7220000Z
98,0.4610315263271332,,0,,,,,,,2026-04-28T23:05:14.1850000Z
99,0.46116748452186584,,0,,,,,,,2026-04-28T23:05:18.5730000Z
100,0.47029274702072144,,0,0.45987552404403687,,0,,,,2026-04-28T23:05:26.0610000Z
101,0.48263323307037354,,0,,,,,,,2026-04-28T23:05:30.4910000Z
102,0.4828474223613739,,0,,,,,,,2026-04-28T23:05:35.2200000Z
103,0.4750922918319702,,0,,,,,,,2026-04-28T23:05:39.3700000Z
104,0.43344518542289734,,0,,,,,,,2026-04-28T23:05:43.7760000Z
105,0.4454824924468994,,0,,,,,,,2026-04-28T23:05:47.8740000Z
106,0.4896935820579529,,0,,,,,,,2026-04-28T23:05:51.9530000Z
107,0.46457439661026,,0,,,,,,,2026-04-28T23:05:56.3560000Z
108,0.4245597720146179,,0,,,,,,,2026-04-28T23:06:00.8020000Z
109,0.4740403890609741,,0,,,,,,,2026-04-28T23:06:04.9250000Z
110,0.45008933544158936,,0,0.42904016375541687,,0,,,,2026-04-28T23:06:13.9930000Z
111,0.44827598333358765,,0,,,,,,,2026-04-28T23:06:18.4530000Z
